log(E/GeV),EA(m^2)
0.013040496,1.468441
0.061743073,1.869962
0.014891594,2.0007606
0.3338331,2.1346009
0.62415737,2.268441
1.3326186,2.3992395
4.2370033,2.5330799
11.357798,2.6669202
25.669167,2.8007605
47.992844,2.9346008
141.4452,3.0684412
332.02936,3.2022815
597.68256,3.3330798
1276.093,3.4669201
2829.8584,3.6007605
4721.909,3.7346008
9169.654,3.868441
15593.413,3.9992394
22356.91,4.1361217
29154.52,4.26692
35916.508,4.4007607
51494.957,4.531559
45093.883,4.665399
75243.77,4.7992396
105853.664,4.9330797
