E[lg(E/GeV)],EA[m^2]
-0.210998,0.353468
-0.040201,1.432281
0.130485,3.024221
0.305154,4.03622
0.471849,12.84737
0.64662,31.354389
0.821367,66.202282
0.992025,118.049411
1.162756,325.074676
1.337449,501.480296
1.508127,1008.949213
1.678825,2290.389311
1.849503,4608.130193
2.024221,8216.842429
2.19896,16531.40428
2.369633,32466.85828
2.54436,60756.15918
2.715038,122237.8616
2.885695,217969.9409
3.05636,407903.3735
